symbol,ticker,name,asset_type,country,country_code,exchange,isin,aliases,source
SPY,SPY,S&P 500 ETF Trust,ETF,United States,US,NYSE ARCA,US78462F1030,s&p 500 spy,ELAN curated
QQQ,QQQ,Invesco QQQ Trust,ETF,United States,US,NASDAQ,US46090E1038,nasdaq 100,ELAN curated
IWM,IWM,iShares Russell 2000 ETF,ETF,United States,US,NYSE ARCA,US4642876555,russell 2000,ELAN curated
VGK,VGK,Vanguard FTSE Europe ETF,ETF,United States,US,NYSE ARCA,US9220428745,europe,ELAN curated
EEM,EEM,iShares MSCI Emerging Markets ETF,ETF,United States,US,NYSE ARCA,US4642872349,emerging markets,ELAN curated
TLT,TLT,iShares 20+ Year Treasury Bond ETF,Bond,United States,US,NASDAQ,US4642874329,treasury bond bonos,ELAN curated
GLD,GLD,SPDR Gold Shares,Commodity,United States,US,NYSE ARCA,US78463V1070,gold oro,ELAN curated
GC=F,GC=F,Gold Futures,Commodity,Global,,COMEX,,gold oro futuro,ELAN curated
SI=F,SI=F,Silver Futures,Commodity,Global,,COMEX,,silver plata futuro,ELAN curated
CL=F,CL=F,Crude Oil WTI Futures,Commodity,Global,,NYMEX,,oil petroleo crudo wti,ELAN curated
BZ=F,BZ=F,Brent Crude Oil Futures,Commodity,Global,,NYMEX,,brent oil petroleo crudo,ELAN curated
NG=F,NG=F,Natural Gas Futures,Commodity,Global,,NYMEX,,natural gas gas natural,ELAN curated
HG=F,HG=F,Copper Futures,Commodity,Global,,COMEX,,copper cobre,ELAN curated
ZC=F,ZC=F,Corn Futures,Commodity,Global,,CBOT,,corn maiz,ELAN curated
BTC-USD,BTC-USD,Bitcoin USD,Crypto,Global,,CRYPTO,,bitcoin btc,ELAN curated
ETH-USD,ETH-USD,Ethereum USD,Crypto,Global,,CRYPTO,,ethereum ether eth,ELAN curated
BNB-USD,BNB-USD,BNB USD,Crypto,Global,,CRYPTO,,bnb binance coin,ELAN curated
